transacao_id,cliente_id,agencia_id,produto_id,data_transacao,tipo_transacao,canal,valor,status_transacao
1000087,11463,107,2,2026-01-19,Crédito,Caixa Eletrônico,6356.79,Pendente
1000088,11480,108,3,2022-02-27,Pagamento,Agência,178.59,Concluída
1000089,11497,109,4,2024-07-01,Pagamento,Caixa Eletrônico,2398.80,Concluída
1000090,11514,110,5,2024-11-06,Débito,Cartão,4366.00,Concluída
1000091,11531,111,1,2024-10-04,Transferência,Agência,10856.93,Concluída
1000092,11548,112,2,2022-08-15,Pagamento,Agência,4926.98,Pendente
1000093,11565,113,3,2024-12-13,Débito,Agência,9077.21,Estornada
1000094,11582,114,4,2022-10-06,Transferência,Caixa Eletrônico,1454.64,Estornada
1000095,11599,115,5,2023-02-12,Débito,Internet Banking,407.35,Concluída
1000096,11616,116,1,2023-07-08,Débito,Aplicativo,13826.25,Concluída
1000097,11633,117,2,2026-10-04,Pagamento,Cartão,3531.61,Pendente
1000098,11650,118,3,2026-06-10,Pagamento,Caixa Eletrônico,9547.66,Concluída
1000099,11667,119,4,2023-09-17,Débito,Agência,12852.80,Concluída
1000100,11684,120,5,2022-06-25,Débito,Caixa Eletrônico,4872.95,Concluída
1000101,11701,101,1,2022-05-14,Transferência,Aplicativo,8317.54,Estornada
1000102,11718,102,2,2026-05-18,Débito,Agência,1830.65,Pendente
1000103,11735,103,3,2026-02-08,Pagamento,Caixa Eletrônico,11150.27,Concluída
1000104,11752,104,4,2022-02-12,Débito,Internet Banking,5998.19,Pendente
1000105,11769,105,5,2023-08-03,Débito,Cartão,2211.63,Concluída
1000106,11786,106,1,2022-10-25,Transferência,Cartão,12696.10,Concluída
1000107,11803,107,2,2024-04-25,Débito,Aplicativo,11559.57,Concluída
1000108,11820,108,3,2026-01-01,Transferência,Cartão,7672.16,Pendente
1000109,11837,109,4,2025-02-11,Débito,Agência,4068.84,Concluída
1000110,11854,110,5,2025-12-13,Transferência,Caixa Eletrônico,5985.30,Concluída
1000111,11871,111,1,2022-11-08,Crédito,Agência,454.22,Concluída
1000112,11888,112,2,2022-12-30,Transferência,Cartão,10595.50,Pendente
1000113,11905,113,3,2025-06-26,Transferência,Aplicativo,3991.32,Pendente
1000114,11922,114,4,2026-11-09,Crédito,Cartão,13389.11,Concluída
1000115,11939,115,5,2026-11-16,Crédito,Cartão,9238.79,Estornada
1000116,11956,116,1,2026-03-01,Pagamento,Cartão,7216.32,Estornada
1000117,11973,117,2,2023-12-09,Pagamento,Cartão,8204.53,Concluída
1000118,11990,118,3,2026-01-11,Transferência,Caixa Eletrônico,6233.61,Pendente
1000119,12007,119,4,2022-12-20,Crédito,Caixa Eletrônico,847.60,Concluída
1000120,12024,120,5,2023-12-13,Débito,Agência,14455.83,Pendente
1000121,12041,101,1,2023-01-11,Crédito,Cartão,2939.83,Estornada
1000122,12058,102,2,2022-10-12,Transferência,Cartão,2280.11,Concluída
1000123,12075,103,3,2023-06-23,Débito,Cartão,4788.55,Estornada
1000124,12092,104,4,2022-05-07,Crédito,Agência,8863.96,Concluída
1000125,12109,105,5,2022-12-09,Transferência,Aplicativo,6251.56,Estornada
1000126,12126,106,1,2024-12-03,Crédito,Aplicativo,13217.93,Concluída
1000127,12143,107,2,2023-07-21,Débito,Agência,11754.31,Concluída
1000128,12160,108,3,2023-03-19,Crédito,Caixa Eletrônico,9045.12,Pendente
1000129,12177,109,4,2024-10-13,Crédito,Agência,5570.59,Estornada
1000130,12194,110,5,2024-06-27,Débito,Caixa Eletrônico,12087.07,Concluída
1000131,12211,111,1,2026-04-19,Pagamento,Internet Banking,12282.26,Estornada
1000132,12228,112,2,2025-01-09,Crédito,Caixa Eletrônico,14123.29,Concluída
1000133,12245,113,3,2026-06-06,Crédito,Agência,2404.64,Pendente
1000134,12262,114,4,2026-05-07,Transferência,Aplicativo,13646.62,Concluída
1000135,12279,115,5,2022-08-24,Pagamento,Internet Banking,12877.95,Concluída
1000136,12296,116,1,2023-08-31,Débito,Aplicativo,5599.00,Estornada
1000137,12313,117,2,2025-07-27,Pagamento,Agência,14469.83,Estornada
1000138,12330,118,3,2023-01-12,Débito,Internet Banking,4573.52,Concluída
1000139,12347,119,4,2023-10-21,Débito,Agência,1720.79,Concluída
1000140,12364,120,5,2022-01-14,Débito,Internet Banking,13769.71,Concluída
1000141,12381,101,1,2026-02-06,Crédito,Aplicativo,9246.50,Concluída
1000142,12398,102,2,2025-02-19,Transferência,Agência,3944.98,Concluída
1000143,12415,103,3,2025-07-22,Transferência,Agência,4764.47,Concluída
1000144,12432,104,4,2023-08-24,Crédito,Aplicativo,13713.94,Concluída
1000145,12449,105,5,2025-01-12,Débito,Cartão,1615.99,Pendente
1000146,12466,106,1,2023-01-27,Transferência,Agência,13381.80,Pendente
1000147,12483,107,2,2024-08-23,Débito,Cartão,1918.12,Estornada
1000148,12500,108,3,2026-05-25,Transferência,Aplicativo,4392.99,Pendente
1000149,12517,109,4,2023-06-26,Crédito,Cartão,12164.05,Concluída
1000150,12534,110,5,2022-01-10,Débito,Aplicativo,9848.28,Concluída
1000151,12551,111,1,2023-12-18,Pagamento,Internet Banking,1568.29,Concluída
1000152,12568,112,2,2024-04-14,Transferência,Cartão,13378.07,Concluída
1000153,12585,113,3,2026-07-01,Transferência,Caixa Eletrônico,6345.12,Pendente
1000154,12602,114,4,2023-06-16,Débito,Aplicativo,2898.48,Estornada
1000155,12619,115,5,2024-06-16,Débito,Caixa Eletrônico,5640.35,Concluída
1000156,12636,116,1,2025-09-07,Pagamento,Aplicativo,13379.26,Pendente
1000157,12653,117,2,2022-09-23,Transferência,Aplicativo,13425.47,Concluída
1000158,12670,118,3,2022-06-22,Transferência,Aplicativo,1967.05,Estornada
1000159,12687,119,4,2022-10-29,Crédito,Internet Banking,6011.74,Estornada
1000160,12704,120,5,2023-06-12,Débito,Cartão,10411.66,Concluída
1000161,12721,101,1,2026-03-10,Crédito,Internet Banking,13077.18,Concluída
1000162,12738,102,2,2026-10-31,Débito,Internet Banking,12961.93,Pendente
1000163,12755,103,3,2025-06-09,Débito,Aplicativo,6888.23,Concluída
1000164,12772,104,4,2022-12-30,Transferência,Cartão,12367.53,Estornada
1000165,12789,105,5,2023-09-16,Débito,Agência,5968.25,Concluída
1000166,12806,106,1,2024-07-27,Pagamento,Cartão,7224.52,Pendente
1000167,12823,107,2,2025-02-17,Transferência,Aplicativo,11523.12,Concluída
1000168,12840,108,3,2026-03-02,Pagamento,Cartão,10372.31,Concluída
1000169,12857,109,4,2022-09-15,Transferência,Cartão,13668.34,Estornada
1000170,12874,110,5,2023-05-03,Débito,Agência,4607.19,Concluída
1000171,12891,111,1,2023-09-24,Débito,Aplicativo,5378.07,Pendente
1000172,12908,112,2,2024-06-08,Transferência,Aplicativo,4085.97,Concluída
1000173,12925,113,3,2025-06-06,Pagamento,Internet Banking,11853.15,Pendente
1000174,12942,114,4,2026-01-07,Crédito,Cartão,11301.27,Estornada
1000175,12959,115,5,2024-06-16,Débito,Internet Banking,1563.00,Concluída
1000176,12976,116,1,2026-09-30,Pagamento,Aplicativo,894.83,Concluída
1000177,12993,117,2,2026-11-06,Crédito,Agência,14469.12,Concluída
1000178,13010,118,3,2023-04-26,Pagamento,Cartão,6647.86,Concluída
1000179,13027,119,4,2024-08-20,Pagamento,Agência,8211.11,Concluída
1000180,13044,120,5,2023-03-21,Crédito,Caixa Eletrônico,12657.95,Estornada
1000181,13061,101,1,2024-09-28,Pagamento,Aplicativo,5444.15,Concluída
1000182,13078,102,2,2025-02-17,Transferência,Caixa Eletrônico,11967.05,Concluída
1000183,13095,103,3,2025-04-20,Transferência,Internet Banking,6119.13,Estornada
1000184,13112,104,4,2022-04-24,Crédito,Caixa Eletrônico,2445.78,Concluída
1000185,13129,105,5,2026-10-01,Transferência,Cartão,3083.54,Pendente
1000186,13146,106,1,2024-02-28,Débito,Agência,8280.36,Pendente
1000187,13163,107,2,2025-08-17,Débito,Internet Banking,13736.32,Estornada
1000188,13180,108,3,2025-04-10,Pagamento,Cartão,7367.58,Concluída
1000189,13197,109,4,2025-05-21,Pagamento,Cartão,6219.26,Pendente
1000190,13214,110,5,2025-12-06,Débito,Cartão,13369.77,Concluída
1000191,13231,111,1,2026-04-15,Crédito,Aplicativo,5439.68,Estornada
1000192,13248,112,2,2022-12-28,Débito,Agência,7552.75,Pendente
1000193,13265,113,3,2023-04-22,Transferência,Agência,9784.22,Pendente
1000194,13282,114,4,2026-03-01,Débito,Cartão,2575.23,Concluída
1000195,13299,115,5,2022-03-09,Transferência,Internet Banking,7596.63,Concluída
1000196,13316,116,1,2026-06-19,Pagamento,Agência,14800.18,Estornada
1000197,13333,117,2,2022-04-28,Débito,Cartão,11322.33,Concluída
1000198,13350,118,3,2022-04-21,Crédito,Caixa Eletrônico,6266.77,Concluída
1000199,13367,119,4,2026-02-16,Pagamento,Internet Banking,10894.93,Concluída
1000200,13384,120,5,2023-08-29,Pagamento,Caixa Eletrônico,3443.27,Estornada
1000201,13401,101,1,2025-12-05,Transferência,Agência,8668.34,Estornada
1000202,13418,102,2,2022-06-14,Pagamento,Aplicativo,915.68,Estornada
1000203,13435,103,3,2026-06-04,Crédito,Aplicativo,948.63,Concluída
1000204,13452,104,4,2026-05-05,Débito,Internet Banking,14492.19,Concluída
1000205,13469,105,5,2026-05-24,Crédito,Cartão,7775.77,Pendente
1000206,13486,106,1,2026-03-13,Pagamento,Caixa Eletrônico,9173.13,Concluída
1000207,13503,107,2,2022-06-10,Débito,Aplicativo,8072.45,Pendente
1000208,13520,108,3,2022-03-20,Crédito,Internet Banking,3118.44,Pendente
1000209,13537,109,4,2023-08-14,Transferência,Caixa Eletrônico,3439.59,Pendente
1000210,13554,110,5,2022-12-21,Débito,Caixa Eletrônico,3388.35,Estornada
1000211,13571,111,1,2023-07-31,Transferência,Internet Banking,5890.68,Estornada
1000212,13588,112,2,2023-06-17,Pagamento,Agência,7960.96,Estornada
1000213,13605,113,3,2024-04-26,Pagamento,Aplicativo,4374.20,Concluída
1000214,13622,114,4,2024-12-03,Débito,Internet Banking,5482.27,Pendente
1000215,13639,115,5,2023-05-03,Pagamento,Cartão,2025.66,Estornada
1000216,13656,116,1,2024-06-07,Débito,Caixa Eletrônico,9886.25,Concluída
1000217,13673,117,2,2026-04-29,Pagamento,Caixa Eletrônico,12911.09,Pendente
1000218,13690,118,3,2022-07-23,Crédito,Aplicativo,101.19,Estornada
1000219,13707,119,4,2026-03-25,Pagamento,Aplicativo,8079.43,Pendente
1000220,13724,120,5,2022-04-05,Débito,Caixa Eletrônico,6199.16,Pendente
1000221,13741,101,1,2023-12-09,Crédito,Cartão,8284.08,Estornada
1000222,13758,102,2,2022-06-23,Transferência,Caixa Eletrônico,1483.77,Concluída
1000223,13775,103,3,2026-11-14,Débito,Aplicativo,14725.89,Concluída
1000224,13792,104,4,2025-05-22,Transferência,Aplicativo,5324.56,Concluída
1000225,13809,105,5,2026-08-30,Débito,Aplicativo,1214.16,Estornada
1000226,13826,106,1,2023-01-21,Transferência,Cartão,3428.62,Pendente
1000227,13843,107,2,2026-06-05,Débito,Internet Banking,11509.86,Concluída
1000228,13860,108,3,2026-07-12,Transferência,Agência,10608.80,Concluída
1000229,13877,109,4,2024-11-01,Pagamento,Internet Banking,6329.21,Concluída
1000230,13894,110,5,2024-12-04,Crédito,Aplicativo,10343.21,Concluída
1000231,13911,111,1,2023-04-09,Débito,Internet Banking,4727.77,Concluída
1000232,13928,112,2,2022-06-06,Transferência,Aplicativo,5658.80,Concluída
1000233,13945,113,3,2026-11-19,Débito,Aplicativo,7628.11,Concluída
1000234,13962,114,4,2024-06-27,Débito,Internet Banking,6218.77,Concluída
1000235,13979,115,5,2025-07-20,Crédito,Cartão,5508.69,Concluída
1000236,13996,116,1,2024-05-30,Débito,Caixa Eletrônico,2370.10,Concluída
1000237,14013,117,2,2024-03-30,Transferência,Agência,10942.22,Concluída
1000238,14030,118,3,2024-11-26,Crédito,Cartão,7029.44,Concluída
1000239,14047,119,4,2024-12-19,Pagamento,Aplicativo,8948.20,Concluída
1000240,14064,120,5,2024-09-19,Crédito,Agência,6614.34,Concluída
1000241,14081,101,1,2026-03-19,Pagamento,Cartão,11185.92,Estornada
1000242,14098,102,2,2025-04-22,Pagamento,Caixa Eletrônico,917.99,Concluída
1000243,14115,103,3,2022-01-10,Transferência,Caixa Eletrônico,3891.21,Concluída
1000244,14132,104,4,2024-12-17,Pagamento,Agência,224.89,Estornada
1000245,14149,105,5,2023-04-03,Pagamento,Internet Banking,5836.98,Concluída
1000246,14166,106,1,2025-02-09,Transferência,Caixa Eletrônico,4138.78,Concluída
1000247,14183,107,2,2024-06-24,Débito,Agência,11723.63,Concluída
1000248,14200,108,3,2024-05-02,Débito,Caixa Eletrônico,11678.55,Estornada
1000249,14217,109,4,2023-06-21,Pagamento,Aplicativo,9895.85,Concluída
1000250,14234,110,5,2026-09-14,Crédito,Aplicativo,14627.55,Pendente
1000251,14251,111,1,2026-11-04,Crédito,Internet Banking,6331.64,Concluída
1000252,14268,112,2,2026-04-19,Débito,Cartão,6734.78,Concluída
1000253,14285,113,3,2023-05-10,Débito,Cartão,1331.98,Concluída
1000254,14302,114,4,2025-11-28,Pagamento,Caixa Eletrônico,8696.63,Concluída
1000255,14319,115,5,2025-01-28,Transferência,Cartão,5990.87,Concluída
1000256,14336,116,1,2023-12-13,Débito,Cartão,8817.55,Pendente
1000257,14353,117,2,2024-12-29,Transferência,Cartão,14679.06,Concluída
1000258,14370,118,3,2025-12-21,Transferência,Internet Banking,10142.41,Concluída
1000259,14387,119,4,2026-11-22,Crédito,Internet Banking,1906.83,Concluída
1000260,14404,120,5,2025-04-15,Transferência,Cartão,7959.02,Concluída
1000261,14421,101,1,2023-04-14,Pagamento,Aplicativo,4389.57,Pendente
1000262,14438,102,2,2026-12-24,Transferência,Caixa Eletrônico,9886.12,Pendente
1000263,14455,103,3,2024-04-07,Crédito,Cartão,6671.27,Concluída
1000264,14472,104,4,2026-01-15,Pagamento,Internet Banking,612.63,Pendente
1000265,14489,105,5,2022-12-03,Transferência,Agência,3008.07,Pendente
1000266,14506,106,1,2023-12-13,Crédito,Caixa Eletrônico,12852.37,Estornada
1000267,14523,107,2,2026-02-03,Crédito,Internet Banking,14813.44,Estornada
1000268,14540,108,3,2023-10-25,Pagamento,Aplicativo,11557.04,Pendente
1000269,14557,109,4,2026-03-06,Pagamento,Aplicativo,8336.20,Estornada
1000270,14574,110,5,2023-01-10,Débito,Cartão,12699.01,Concluída
1000271,14591,111,1,2025-02-02,Transferência,Agência,1263.38,Concluída
1000272,14608,112,2,2023-09-12,Pagamento,Aplicativo,12841.39,Concluída
1000273,14625,113,3,2023-09-25,Transferência,Agência,12186.21,Pendente
1000274,14642,114,4,2026-06-28,Débito,Caixa Eletrônico,13655.22,Concluída
1000275,14659,115,5,2024-05-11,Débito,Cartão,12318.60,Estornada
1000276,14676,116,1,2026-08-06,Crédito,Aplicativo,3355.60,Concluída
1000277,14693,117,2,2022-01-19,Débito,Aplicativo,2263.60,Concluída
1000278,14710,118,3,2023-07-19,Pagamento,Cartão,12543.78,Concluída
1000279,14727,119,4,2025-03-30,Transferência,Aplicativo,2589.04,Pendente
1000280,14744,120,5,2022-12-16,Débito,Caixa Eletrônico,6528.56,Estornada
1000281,14761,101,1,2022-02-17,Pagamento,Aplicativo,12388.04,Concluída
1000282,14778,102,2,2025-01-17,Crédito,Cartão,7762.20,Concluída
1000283,14795,103,3,2024-05-13,Débito,Agência,4833.89,Concluída
1000284,14812,104,4,2025-07-30,Crédito,Aplicativo,2320.77,Concluída
1000285,14829,105,5,2025-07-24,Débito,Aplicativo,110.85,Concluída
1000286,14846,106,1,2026-09-08,Crédito,Internet Banking,780.88,Concluída
1000287,14863,107,2,2023-12-29,Débito,Aplicativo,8757.87,Concluída
1000288,14880,108,3,2026-09-27,Débito,Aplicativo,8361.48,Concluída
1000289,14897,109,4,2025-03-27,Transferência,Agência,9310.59,Estornada
1000290,14914,110,5,2026-04-12,Pagamento,Aplicativo,4450.61,Concluída
1000291,14931,111,1,2026-02-13,Transferência,Caixa Eletrônico,8222.89,Concluída
1000292,14948,112,2,2025-11-11,Pagamento,Cartão,4004.49,Concluída
1000293,14965,113,3,2024-02-20,Crédito,Cartão,14452.46,Pendente
1000294,14982,114,4,2022-02-20,Crédito,Cartão,1185.17,Concluída
1000295,14999,115,5,2026-11-28,Débito,Cartão,5305.29,Concluída
1000296,15016,116,1,2025-04-26,Transferência,Internet Banking,9620.27,Concluída
1000297,15033,117,2,2022-02-02,Transferência,Aplicativo,1560.72,Pendente
1000298,15050,118,3,2025-09-23,Pagamento,Caixa Eletrônico,7763.59,Concluída
1000299,15067,119,4,2024-05-15,Crédito,Internet Banking,3297.08,Pendente
1000300,15084,120,5,2023-03-29,Débito,Cartão,7400.85,Estornada
1000301,15101,101,1,2026-05-08,Débito,Cartão,4982.29,Pendente
1000302,15118,102,2,2023-01-28,Débito,Internet Banking,2380.59,Pendente
1000303,15135,103,3,2023-06-07,Débito,Caixa Eletrônico,9503.84,Concluída
1000304,15152,104,4,2023-05-10,Pagamento,Agência,8497.75,Concluída
1000305,15169,105,5,2023-06-15,Transferência,Aplicativo,2708.20,Concluída
1000306,15186,106,1,2025-07-28,Transferência,Caixa Eletrônico,13142.10,Concluída
1000307,15203,107,2,2023-10-18,Crédito,Cartão,12460.21,Concluída
1000308,15220,108,3,2023-03-29,Transferência,Internet Banking,5252.03,Concluída
1000309,15237,109,4,2025-08-30,Transferência,Agência,11623.51,Concluída
1000310,15254,110,5,2022-03-22,Débito,Internet Banking,11171.94,Estornada
1000311,15271,111,1,2022-03-17,Crédito,Caixa Eletrônico,6898.09,Concluída
1000312,15288,112,2,2023-07-05,Transferência,Cartão,873.96,Concluída
1000313,15305,113,3,2026-12-15,Transferência,Internet Banking,8044.95,Concluída
1000314,15322,114,4,2026-06-05,Crédito,Cartão,4994.09,Concluída
1000315,15339,115,5,2022-01-11,Crédito,Aplicativo,8596.11,Concluída
1000316,15356,116,1,2026-10-15,Débito,Aplicativo,12779.03,Estornada
1000317,15373,117,2,2024-06-11,Débito,Aplicativo,7419.43,Concluída
1000318,15390,118,3,2026-11-23,Crédito,Cartão,1848.97,Estornada
1000319,15407,119,4,2024-04-11,Transferência,Internet Banking,4987.85,Concluída
1000320,15424,120,5,2026-08-08,Pagamento,Aplicativo,9515.42,Concluída
1000321,15441,101,1,2022-07-12,Débito,Internet Banking,11015.03,Concluída
1000322,15458,102,2,2023-03-22,Pagamento,Agência,185.89,Concluída
1000323,15475,103,3,2025-06-28,Crédito,Caixa Eletrônico,1084.92,Concluída
1000324,15492,104,4,2022-05-23,Pagamento,Aplicativo,14876.92,Pendente
1000325,15509,105,5,2023-05-01,Crédito,Internet Banking,11025.27,Estornada
1000326,15526,106,1,2023-03-17,Débito,Internet Banking,1382.49,Estornada
1000327,15543,107,2,2024-01-27,Transferência,Cartão,9124.91,Concluída
1000328,15560,108,3,2023-05-10,Transferência,Internet Banking,1749.07,Concluída
1000329,15577,109,4,2023-02-19,Transferência,Internet Banking,9335.67,Concluída
1000330,15594,110,5,2025-02-09,Débito,Aplicativo,2500.71,Concluída
1000331,15611,111,1,2023-01-11,Crédito,Internet Banking,14042.77,Concluída
1000332,15628,112,2,2024-11-19,Transferência,Agência,11714.94,Pendente
1000333,15645,113,3,2025-11-13,Débito,Internet Banking,8950.91,Concluída
1000334,15662,114,4,2024-03-21,Pagamento,Aplicativo,10612.81,Pendente
1000335,15679,115,5,2023-03-11,Crédito,Internet Banking,10593.17,Pendente
1000336,15696,116,1,2022-08-31,Débito,Aplicativo,10505.89,Pendente
1000337,15713,117,2,2025-11-13,Débito,Cartão,809.22,Pendente
1000338,15730,118,3,2024-07-01,Crédito,Internet Banking,3019.39,Concluída
1000339,15747,119,4,2022-05-15,Crédito,Aplicativo,1769.90,Concluída
1000340,15764,120,5,2025-10-13,Transferência,Cartão,12791.17,Concluída
1000341,15781,101,1,2023-07-02,Transferência,Caixa Eletrônico,2449.56,Pendente
1000342,15798,102,2,2022-04-08,Crédito,Aplicativo,1350.33,Concluída
1000343,15815,103,3,2022-01-09,Transferência,Caixa Eletrônico,1867.26,Concluída
1000344,15832,104,4,2026-06-17,Transferência,Internet Banking,8884.21,Concluída
1000345,15849,105,5,2023-04-24,Crédito,Cartão,13811.03,Concluída
1000346,15866,106,1,2025-01-27,Crédito,Aplicativo,11428.33,Concluída
1000347,15883,107,2,2024-05-22,Crédito,Caixa Eletrônico,1307.21,Concluída
1000348,15900,108,3,2025-02-22,Débito,Internet Banking,9431.98,Pendente
1000349,15917,109,4,2025-10-30,Débito,Agência,14107.33,Pendente
1000350,15934,110,5,2025-04-08,Pagamento,Agência,4383.26,Concluída
1000351,15951,111,1,2024-03-04,Crédito,Agência,4054.52,Concluída
