pagamento_id,emprestimo_id,cliente_id,data_vencimento,data_pagamento,numero_parcela,valor_parcela,status_pagamento
9000147,500015,10519,2025-07-24,2025-07-22,7,7426.69,Pago
9000148,500015,10519,2025-08-24,2025-08-22,8,7426.69,Pago
9000149,500015,10519,2025-09-24,2025-09-22,9,7426.69,Pago
9000150,500015,10519,2025-10-24,2025-10-22,10,7426.69,Pago
9000151,500016,10556,2025-01-10,2025-01-08,1,7090.01,Pago
9000152,500016,10556,2025-02-10,2025-02-08,2,7090.01,Pago
9000153,500016,10556,2025-03-10,2025-03-08,3,7090.01,Pago
9000154,500016,10556,2025-04-10,2025-04-08,4,7090.01,Pago
9000155,500016,10556,2025-05-10,2025-05-08,5,7090.01,Pago
9000156,500016,10556,2025-06-10,2025-06-08,6,7090.01,Pago
9000157,500016,10556,2025-07-10,2025-07-08,7,7090.01,Pago
9000158,500016,10556,2025-08-10,2025-08-08,8,7090.01,Pago
9000159,500016,10556,2025-09-10,2025-09-08,9,7090.01,Pago
9000160,500016,10556,2025-10-10,2025-10-08,10,7090.01,Pago
9000161,500017,10593,2025-01-11,2025-01-09,1,1361.07,Pago
9000162,500017,10593,2025-02-11,2025-02-09,2,1361.07,Pago
9000163,500017,10593,2025-03-11,2025-03-09,3,1361.07,Pago
9000164,500017,10593,2025-04-11,2025-04-09,4,1361.07,Pago
9000165,500017,10593,2025-05-11,2025-05-09,5,1361.07,Pago
9000166,500017,10593,2025-06-11,2025-06-09,6,1361.07,Pago
9000167,500017,10593,2025-07-11,2025-07-09,7,1361.07,Pago
9000168,500017,10593,2025-08-11,2025-08-09,8,1361.07,Pago
9000169,500017,10593,2025-09-11,2025-09-09,9,1361.07,Pago
9000170,500017,10593,2025-10-11,2025-10-09,10,1361.07,Pago
9000171,500018,10630,2025-01-12,2025-01-10,1,3015.40,Pago
9000172,500018,10630,2025-02-12,2025-02-10,2,3015.40,Pago
9000173,500018,10630,2025-03-12,2025-03-10,3,3015.40,Pago
9000174,500018,10630,2025-04-12,2025-04-10,4,3015.40,Pago
9000175,500018,10630,2025-05-12,2025-05-20,5,3015.40,Em atraso
9000176,500018,10630,2025-06-12,2025-06-10,6,3015.40,Pago
9000177,500018,10630,2025-07-12,2025-07-10,7,3015.40,Pago
9000178,500018,10630,2025-08-12,2025-08-10,8,3015.40,Pago
9000179,500018,10630,2025-09-12,2025-09-10,9,3015.40,Pago
9000180,500018,10630,2025-10-12,2025-10-10,10,3015.40,Pago
9000181,500019,10667,2025-01-13,2025-01-11,1,8871.99,Pago
9000182,500019,10667,2025-02-13,2025-02-11,2,8871.99,Pago
9000183,500019,10667,2025-03-13,2025-03-11,3,8871.99,Pago
9000184,500019,10667,2025-04-13,2025-04-11,4,8871.99,Pago
9000185,500019,10667,2025-05-13,2025-05-11,5,8871.99,Pago
9000186,500019,10667,2025-06-13,2025-06-11,6,8871.99,Pago
9000187,500019,10667,2025-07-13,2025-07-11,7,8871.99,Pago
9000188,500019,10667,2025-08-13,2025-08-11,8,8871.99,Pago
9000189,500019,10667,2025-09-13,2025-09-11,9,8871.99,Pago
9000190,500019,10667,2025-10-13,2025-10-11,10,8871.99,Pago
9000191,500020,10704,2025-01-14,2025-01-12,1,1118.39,Pago
9000192,500020,10704,2025-02-14,2025-02-12,2,1118.39,Pago
9000193,500020,10704,2025-03-14,2025-03-12,3,1118.39,Pago
9000194,500020,10704,2025-04-14,2025-04-12,4,1118.39,Pago
9000195,500020,10704,2025-05-14,,5,1118.39,Pendente
9000196,500020,10704,2025-06-14,2025-06-12,6,1118.39,Pago
9000197,500020,10704,2025-07-14,2025-07-12,7,1118.39,Pago
9000198,500020,10704,2025-08-14,2025-08-12,8,1118.39,Pago
9000199,500020,10704,2025-09-14,2025-09-12,9,1118.39,Pago
9000200,500020,10704,2025-10-14,2025-10-12,10,1118.39,Pago
9000201,500021,10741,2025-01-15,2025-01-13,1,3963.89,Pago
9000202,500021,10741,2025-02-15,2025-02-13,2,3963.89,Pago
9000203,500021,10741,2025-03-15,2025-03-13,3,3963.89,Pago
9000204,500021,10741,2025-04-15,2025-04-23,4,3963.89,Em atraso
9000205,500021,10741,2025-05-15,2025-05-13,5,3963.89,Pago
9000206,500021,10741,2025-06-15,2025-06-13,6,3963.89,Pago
9000207,500021,10741,2025-07-15,2025-07-13,7,3963.89,Pago
9000208,500021,10741,2025-08-15,2025-08-13,8,3963.89,Pago
9000209,500021,10741,2025-09-15,2025-09-13,9,3963.89,Pago
9000210,500021,10741,2025-10-15,2025-10-13,10,3963.89,Pago
9000211,500022,10778,2025-01-16,2025-01-14,1,5120.02,Pago
9000212,500022,10778,2025-02-16,2025-02-14,2,5120.02,Pago
9000213,500022,10778,2025-03-16,2025-03-14,3,5120.02,Pago
9000214,500022,10778,2025-04-16,2025-04-14,4,5120.02,Pago
9000215,500022,10778,2025-05-16,2025-05-14,5,5120.02,Pago
9000216,500022,10778,2025-06-16,2025-06-14,6,5120.02,Pago
9000217,500022,10778,2025-07-16,2025-07-14,7,5120.02,Pago
9000218,500022,10778,2025-08-16,2025-08-14,8,5120.02,Pago
9000219,500022,10778,2025-09-16,2025-09-14,9,5120.02,Pago
9000220,500022,10778,2025-10-16,2025-10-14,10,5120.02,Pago
9000221,500023,10815,2025-01-17,2025-01-15,1,2301.84,Pago
9000222,500023,10815,2025-02-17,2025-02-15,2,2301.84,Pago
9000223,500023,10815,2025-03-17,2025-03-15,3,2301.84,Pago
9000224,500023,10815,2025-04-17,2025-04-15,4,2301.84,Pago
9000225,500023,10815,2025-05-17,2025-05-15,5,2301.84,Pago
9000226,500023,10815,2025-06-17,2025-06-15,6,2301.84,Pago
9000227,500023,10815,2025-07-17,2025-07-15,7,2301.84,Pago
9000228,500023,10815,2025-08-17,2025-08-15,8,2301.84,Pago
9000229,500023,10815,2025-09-17,2025-09-15,9,2301.84,Pago
9000230,500023,10815,2025-10-17,2025-10-15,10,2301.84,Pago
9000231,500024,10852,2025-01-18,2025-01-16,1,1543.58,Pago
9000232,500024,10852,2025-02-18,2025-02-16,2,1543.58,Pago
9000233,500024,10852,2025-03-18,2025-03-26,3,1543.58,Em atraso
9000234,500024,10852,2025-04-18,2025-04-16,4,1543.58,Pago
9000235,500024,10852,2025-05-18,2025-05-16,5,1543.58,Pago
9000236,500024,10852,2025-06-18,2025-06-16,6,1543.58,Pago
9000237,500024,10852,2025-07-18,2025-07-16,7,1543.58,Pago
9000238,500024,10852,2025-08-18,2025-08-16,8,1543.58,Pago
9000239,500024,10852,2025-09-18,2025-09-16,9,1543.58,Pago
9000240,500024,10852,2025-10-18,2025-10-16,10,1543.58,Pago
9000241,500025,10889,2025-01-19,2025-01-17,1,2454.04,Pago
9000242,500025,10889,2025-02-19,2025-02-17,2,2454.04,Pago
9000243,500025,10889,2025-03-19,2025-03-17,3,2454.04,Pago
9000244,500025,10889,2025-04-19,2025-04-17,4,2454.04,Pago
9000245,500025,10889,2025-05-19,2025-05-17,5,2454.04,Pago
9000246,500025,10889,2025-06-19,2025-06-17,6,2454.04,Pago
9000247,500025,10889,2025-07-19,2025-07-17,7,2454.04,Pago
9000248,500025,10889,2025-08-19,2025-08-17,8,2454.04,Pago
9000249,500025,10889,2025-09-19,2025-09-17,9,2454.04,Pago
9000250,500025,10889,2025-10-19,2025-10-17,10,2454.04,Pago
9000251,500026,10926,2025-01-20,2025-01-18,1,371.31,Pago
9000252,500026,10926,2025-02-20,2025-02-18,2,371.31,Pago
9000253,500026,10926,2025-03-20,2025-03-18,3,371.31,Pago
9000254,500026,10926,2025-04-20,2025-04-18,4,371.31,Pago
9000255,500026,10926,2025-05-20,2025-05-18,5,371.31,Pago
9000256,500026,10926,2025-06-20,2025-06-18,6,371.31,Pago
9000257,500026,10926,2025-07-20,2025-07-18,7,371.31,Pago
9000258,500026,10926,2025-08-20,2025-08-18,8,371.31,Pago
9000259,500026,10926,2025-09-20,2025-09-18,9,371.31,Pago
9000260,500026,10926,2025-10-20,2025-10-18,10,371.31,Pago
9000261,500027,10963,2025-01-21,2025-01-19,1,4045.01,Pago
9000262,500027,10963,2025-02-21,2025-03-01,2,4045.01,Em atraso
9000263,500027,10963,2025-03-21,2025-03-19,3,4045.01,Pago
9000264,500027,10963,2025-04-21,2025-04-19,4,4045.01,Pago
9000265,500027,10963,2025-05-21,2025-05-19,5,4045.01,Pago
9000266,500027,10963,2025-06-21,2025-06-19,6,4045.01,Pago
9000267,500027,10963,2025-07-21,2025-07-19,7,4045.01,Pago
9000268,500027,10963,2025-08-21,2025-08-19,8,4045.01,Pago
9000269,500027,10963,2025-09-21,2025-09-19,9,4045.01,Pago
9000270,500027,10963,2025-10-21,2025-10-19,10,4045.01,Pago
9000271,500028,11000,2025-01-22,2025-01-20,1,891.64,Pago
9000272,500028,11000,2025-02-22,2025-02-20,2,891.64,Pago
9000273,500028,11000,2025-03-22,2025-03-20,3,891.64,Pago
9000274,500028,11000,2025-04-22,2025-04-20,4,891.64,Pago
9000275,500028,11000,2025-05-22,2025-05-20,5,891.64,Pago
9000276,500028,11000,2025-06-22,2025-06-20,6,891.64,Pago
9000277,500028,11000,2025-07-22,2025-07-20,7,891.64,Pago
9000278,500028,11000,2025-08-22,2025-08-20,8,891.64,Pago
9000279,500028,11000,2025-09-22,2025-09-20,9,891.64,Pago
9000280,500028,11000,2025-10-22,2025-10-20,10,891.64,Pago
9000281,500029,11037,2025-01-23,2025-01-21,1,382.02,Pago
9000282,500029,11037,2025-02-23,2025-02-21,2,382.02,Pago
9000283,500029,11037,2025-03-23,2025-03-21,3,382.02,Pago
9000284,500029,11037,2025-04-23,2025-04-21,4,382.02,Pago
9000285,500029,11037,2025-05-23,2025-05-21,5,382.02,Pago
9000286,500029,11037,2025-06-23,2025-06-21,6,382.02,Pago
9000287,500029,11037,2025-07-23,2025-07-21,7,382.02,Pago
9000288,500029,11037,2025-08-23,2025-08-21,8,382.02,Pago
9000289,500029,11037,2025-09-23,2025-09-21,9,382.02,Pago
9000290,500029,11037,2025-10-23,2025-10-21,10,382.02,Pago
9000291,500030,11074,2025-01-24,2025-02-01,1,972.59,Em atraso
9000292,500030,11074,2025-02-24,,2,972.59,Pendente
9000293,500030,11074,2025-03-24,2025-03-22,3,972.59,Pago
9000294,500030,11074,2025-04-24,2025-04-22,4,972.59,Pago
9000295,500030,11074,2025-05-24,2025-05-22,5,972.59,Pago
9000296,500030,11074,2025-06-24,2025-06-22,6,972.59,Pago
9000297,500030,11074,2025-07-24,2025-07-22,7,972.59,Pago
9000298,500030,11074,2025-08-24,2025-08-22,8,972.59,Pago
9000299,500030,11074,2025-09-24,2025-09-22,9,972.59,Pago
9000300,500030,11074,2025-10-24,2025-10-22,10,972.59,Pago
9000301,500031,11111,2025-01-10,2025-01-08,1,9935.93,Pago
9000302,500031,11111,2025-02-10,2025-02-08,2,9935.93,Pago
9000303,500031,11111,2025-03-10,2025-03-08,3,9935.93,Pago
9000304,500031,11111,2025-04-10,2025-04-08,4,9935.93,Pago
9000305,500031,11111,2025-05-10,2025-05-08,5,9935.93,Pago
9000306,500031,11111,2025-06-10,2025-06-08,6,9935.93,Pago
9000307,500031,11111,2025-07-10,2025-07-08,7,9935.93,Pago
9000308,500031,11111,2025-08-10,2025-08-08,8,9935.93,Pago
9000309,500031,11111,2025-09-10,2025-09-08,9,9935.93,Pago
9000310,500031,11111,2025-10-10,2025-10-08,10,9935.93,Pago
9000311,500032,11148,2025-01-11,2025-01-09,1,2886.01,Pago
9000312,500032,11148,2025-02-11,2025-02-09,2,2886.01,Pago
9000313,500032,11148,2025-03-11,2025-03-09,3,2886.01,Pago
9000314,500032,11148,2025-04-11,2025-04-09,4,2886.01,Pago
9000315,500032,11148,2025-05-11,2025-05-09,5,2886.01,Pago
9000316,500032,11148,2025-06-11,2025-06-09,6,2886.01,Pago
9000317,500032,11148,2025-07-11,2025-07-09,7,2886.01,Pago
9000318,500032,11148,2025-08-11,2025-08-09,8,2886.01,Pago
9000319,500032,11148,2025-09-11,2025-09-09,9,2886.01,Pago
9000320,500032,11148,2025-10-11,2025-10-19,10,2886.01,Em atraso
9000321,500033,11185,2025-01-12,2025-01-10,1,1688.71,Pago
9000322,500033,11185,2025-02-12,2025-02-10,2,1688.71,Pago
9000323,500033,11185,2025-03-12,2025-03-10,3,1688.71,Pago
9000324,500033,11185,2025-04-12,2025-04-10,4,1688.71,Pago
9000325,500033,11185,2025-05-12,2025-05-10,5,1688.71,Pago
9000326,500033,11185,2025-06-12,2025-06-10,6,1688.71,Pago
9000327,500033,11185,2025-07-12,2025-07-10,7,1688.71,Pago
9000328,500033,11185,2025-08-12,2025-08-10,8,1688.71,Pago
9000329,500033,11185,2025-09-12,2025-09-10,9,1688.71,Pago
9000330,500033,11185,2025-10-12,2025-10-10,10,1688.71,Pago
9000331,500034,11222,2025-01-13,2025-01-11,1,6714.74,Pago
9000332,500034,11222,2025-02-13,2025-02-11,2,6714.74,Pago
9000333,500034,11222,2025-03-13,2025-03-11,3,6714.74,Pago
9000334,500034,11222,2025-04-13,2025-04-11,4,6714.74,Pago
9000335,500034,11222,2025-05-13,2025-05-11,5,6714.74,Pago
9000336,500034,11222,2025-06-13,2025-06-11,6,6714.74,Pago
9000337,500034,11222,2025-07-13,2025-07-11,7,6714.74,Pago
9000338,500034,11222,2025-08-13,2025-08-11,8,6714.74,Pago
9000339,500034,11222,2025-09-13,2025-09-11,9,6714.74,Pago
9000340,500034,11222,2025-10-13,2025-10-11,10,6714.74,Pago
9000341,500035,11259,2025-01-14,2025-01-12,1,940.77,Pago
9000342,500035,11259,2025-02-14,2025-02-12,2,940.77,Pago
9000343,500035,11259,2025-03-14,2025-03-12,3,940.77,Pago
9000344,500035,11259,2025-04-14,2025-04-12,4,940.77,Pago
9000345,500035,11259,2025-05-14,2025-05-12,5,940.77,Pago
9000346,500035,11259,2025-06-14,2025-06-12,6,940.77,Pago
9000347,500035,11259,2025-07-14,2025-07-12,7,940.77,Pago
9000348,500035,11259,2025-08-14,2025-08-12,8,940.77,Pago
9000349,500035,11259,2025-09-14,2025-09-22,9,940.77,Em atraso
9000350,500035,11259,2025-10-14,2025-10-12,10,940.77,Pago
9000351,500036,11296,2025-01-15,2025-01-13,1,18935.09,Pago
9000352,500036,11296,2025-02-15,2025-02-13,2,18935.09,Pago
9000353,500036,11296,2025-03-15,2025-03-13,3,18935.09,Pago
9000354,500036,11296,2025-04-15,2025-04-13,4,18935.09,Pago
9000355,500036,11296,2025-05-15,2025-05-13,5,18935.09,Pago
9000356,500036,11296,2025-06-15,2025-06-13,6,18935.09,Pago
9000357,500036,11296,2025-07-15,2025-07-13,7,18935.09,Pago
9000358,500036,11296,2025-08-15,2025-08-13,8,18935.09,Pago
9000359,500036,11296,2025-09-15,2025-09-13,9,18935.09,Pago
9000360,500036,11296,2025-10-15,2025-10-13,10,18935.09,Pago
9000361,500037,11333,2025-01-16,2025-01-14,1,4925.72,Pago
9000362,500037,11333,2025-02-16,2025-02-14,2,4925.72,Pago
9000363,500037,11333,2025-03-16,2025-03-14,3,4925.72,Pago
9000364,500037,11333,2025-04-16,2025-04-14,4,4925.72,Pago
9000365,500037,11333,2025-05-16,2025-05-14,5,4925.72,Pago
9000366,500037,11333,2025-06-16,2025-06-14,6,4925.72,Pago
9000367,500037,11333,2025-07-16,2025-07-14,7,4925.72,Pago
9000368,500037,11333,2025-08-16,2025-08-14,8,4925.72,Pago
9000369,500037,11333,2025-09-16,2025-09-14,9,4925.72,Pago
9000370,500037,11333,2025-10-16,2025-10-14,10,4925.72,Pago
9000371,500038,11370,2025-01-17,2025-01-15,1,6660.96,Pago
9000372,500038,11370,2025-02-17,2025-02-15,2,6660.96,Pago
9000373,500038,11370,2025-03-17,2025-03-15,3,6660.96,Pago
9000374,500038,11370,2025-04-17,2025-04-15,4,6660.96,Pago
9000375,500038,11370,2025-05-17,2025-05-15,5,6660.96,Pago
9000376,500038,11370,2025-06-17,2025-06-15,6,6660.96,Pago
9000377,500038,11370,2025-07-17,2025-07-15,7,6660.96,Pago
9000378,500038,11370,2025-08-17,2025-08-25,8,6660.96,Em atraso
9000379,500038,11370,2025-09-17,2025-09-15,9,6660.96,Pago
9000380,500038,11370,2025-10-17,2025-10-15,10,6660.96,Pago
9000381,500039,11407,2025-01-18,2025-01-16,1,752.33,Pago
9000382,500039,11407,2025-02-18,2025-02-16,2,752.33,Pago
9000383,500039,11407,2025-03-18,2025-03-16,3,752.33,Pago
9000384,500039,11407,2025-04-18,2025-04-16,4,752.33,Pago
9000385,500039,11407,2025-05-18,2025-05-16,5,752.33,Pago
9000386,500039,11407,2025-06-18,2025-06-16,6,752.33,Pago
9000387,500039,11407,2025-07-18,2025-07-16,7,752.33,Pago
9000388,500039,11407,2025-08-18,2025-08-16,8,752.33,Pago
9000389,500039,11407,2025-09-18,,9,752.33,Pendente
9000390,500039,11407,2025-10-18,2025-10-16,10,752.33,Pago
9000391,500040,11444,2025-01-19,2025-01-17,1,7477.02,Pago
9000392,500040,11444,2025-02-19,2025-02-17,2,7477.02,Pago
9000393,500040,11444,2025-03-19,2025-03-17,3,7477.02,Pago
9000394,500040,11444,2025-04-19,2025-04-17,4,7477.02,Pago
9000395,500040,11444,2025-05-19,2025-05-17,5,7477.02,Pago
9000396,500040,11444,2025-06-19,2025-06-17,6,7477.02,Pago
9000397,500040,11444,2025-07-19,2025-07-17,7,7477.02,Pago
9000398,500040,11444,2025-08-19,2025-08-17,8,7477.02,Pago
9000399,500040,11444,2025-09-19,2025-09-17,9,7477.02,Pago
