emprestimo_id,cliente_id,agencia_id,produto_id,data_contratacao,valor_contratado,quantidade_parcelas,taxa_mensal,status_emprestimo
500054,11962,114,3,2026-08-04,43574.70,18,0.0180,Ativo
500055,11999,115,4,2026-12-09,113247.87,6,0.0160,Em atraso
500056,12036,116,4,2022-12-06,116284.05,60,0.0276,Em atraso
500057,12073,117,4,2020-03-27,26699.68,12,0.0316,Ativo
500058,12110,118,3,2020-07-28,114269.80,24,0.0179,Quitado
500059,12147,119,4,2026-05-07,89664.67,36,0.0208,Em atraso
500060,12184,120,4,2026-11-01,52041.73,48,0.0298,Ativo
500061,12221,101,3,2025-05-12,107600.23,12,0.0131,Quitado
500062,12258,102,4,2022-10-17,45538.60,24,0.0370,Quitado
500063,12295,103,4,2025-06-15,2888.80,60,0.0227,Ativo
500064,12332,104,3,2022-01-06,98525.20,12,0.0381,Quitado
500065,12369,105,3,2023-05-27,55445.25,60,0.0119,Ativo
500066,12406,106,3,2025-06-20,30882.97,18,0.0302,Em atraso
500067,12443,107,3,2021-04-26,83132.08,18,0.0260,Quitado
500068,12480,108,3,2021-08-21,37809.69,36,0.0363,Em atraso
500069,12517,109,3,2022-01-27,88872.68,36,0.0099,Ativo
500070,12554,110,4,2021-09-19,18694.13,48,0.0135,Ativo
500071,12591,111,3,2025-08-01,52103.59,6,0.0152,Ativo
500072,12628,112,4,2023-06-10,9181.02,6,0.0406,Ativo
500073,12665,113,4,2021-12-13,22956.19,48,0.0433,Ativo
500074,12702,114,3,2022-11-14,33692.11,24,0.0358,Ativo
500075,12739,115,4,2021-02-10,41308.50,36,0.0410,Em atraso
500076,12776,116,4,2020-04-04,105418.89,18,0.0151,Ativo
500077,12813,117,3,2020-07-14,27597.77,18,0.0137,Ativo
500078,12850,118,4,2023-09-27,59552.66,48,0.0200,Em atraso
500079,12887,119,4,2024-01-11,60034.37,48,0.0181,Quitado
500080,12924,120,4,2021-07-07,6267.50,60,0.0423,Em atraso
500081,12961,101,3,2023-10-16,54607.77,24,0.0171,Em atraso
500082,12998,102,4,2020-10-21,77721.77,6,0.0364,Em atraso
500083,13035,103,4,2020-03-23,36025.01,12,0.0429,Ativo
500084,13072,104,3,2022-08-22,77093.83,36,0.0158,Quitado
500085,13109,105,3,2023-02-10,75472.53,36,0.0365,Quitado
500086,13146,106,4,2020-05-14,24417.55,48,0.0261,Ativo
500087,13183,107,3,2021-04-11,71841.79,12,0.0389,Em atraso
500088,13220,108,3,2020-05-29,5733.27,18,0.0428,Ativo
500089,13257,109,3,2021-09-14,58809.42,36,0.0131,Ativo
500090,13294,110,4,2022-08-10,22819.75,12,0.0258,Em atraso
500091,13331,111,3,2022-10-31,83912.48,12,0.0257,Em atraso
500092,13368,112,4,2025-03-31,94522.88,18,0.0185,Ativo
500093,13405,113,3,2026-06-10,44509.44,6,0.0152,Quitado
500094,13442,114,4,2023-08-03,57446.66,48,0.0186,Ativo
500095,13479,115,4,2026-05-26,14267.56,36,0.0314,Quitado
500096,13516,116,3,2021-06-14,90522.07,36,0.0152,Quitado
500097,13553,117,4,2026-02-18,76567.27,18,0.0169,Quitado
500098,13590,118,4,2021-03-23,42719.59,18,0.0403,Quitado
500099,13627,119,4,2026-08-11,19964.08,18,0.0334,Ativo
500100,13664,120,4,2022-05-11,75920.79,36,0.0190,Ativo
500101,13701,101,4,2026-03-27,113598.88,60,0.0190,Ativo
500102,13738,102,3,2025-02-23,47714.82,36,0.0173,Ativo
500103,13775,103,4,2026-11-18,45196.96,48,0.0330,Quitado
500104,13812,104,4,2024-06-11,86635.25,18,0.0257,Ativo
500105,13849,105,4,2021-01-03,36046.60,18,0.0235,Ativo
500106,13886,106,3,2021-07-16,82103.05,36,0.0343,Ativo
500107,13923,107,4,2020-07-21,85097.81,12,0.0178,Ativo
500108,13960,108,3,2021-05-19,6091.15,12,0.0092,Ativo
500109,13997,109,4,2022-02-03,107071.69,12,0.0374,Ativo
500110,14034,110,4,2025-11-19,38276.37,18,0.0198,Em atraso
500111,14071,111,3,2021-06-05,70221.30,24,0.0231,Ativo
500112,14108,112,4,2021-12-26,91194.30,24,0.0394,Ativo
500113,14145,113,3,2024-07-20,102134.41,24,0.0342,Ativo
500114,14182,114,3,2020-09-02,27662.67,12,0.0352,Quitado
500115,14219,115,3,2024-10-08,85718.95,18,0.0113,Ativo
500116,14256,116,4,2023-03-02,107488.93,18,0.0274,Ativo
500117,14293,117,3,2022-04-26,82261.62,36,0.0134,Em atraso
500118,14330,118,3,2023-01-10,40227.64,6,0.0171,Quitado
500119,14367,119,4,2024-10-03,92200.47,18,0.0253,Ativo
500120,14404,120,3,2021-10-05,48503.31,36,0.0404,Quitado
500121,14441,101,3,2024-02-06,74001.85,12,0.0199,Em atraso
500122,14478,102,4,2023-04-17,117164.20,12,0.0189,Em atraso
500123,14515,103,3,2025-04-25,100282.59,48,0.0195,Em atraso
500124,14552,104,3,2023-05-01,59282.98,24,0.0336,Em atraso
500125,14589,105,3,2020-09-21,84067.85,36,0.0155,Ativo
500126,14626,106,3,2025-07-09,84769.46,18,0.0090,Ativo
500127,14663,107,3,2023-06-14,84825.39,36,0.0354,Ativo
500128,14700,108,4,2026-11-18,40111.47,6,0.0121,Ativo
500129,14737,109,4,2022-11-27,91666.74,48,0.0242,Quitado
500130,14774,110,4,2021-12-09,39509.16,6,0.0301,Quitado
500131,14811,111,4,2020-12-26,114856.13,48,0.0194,Ativo
500132,14848,112,3,2020-07-20,1418.50,60,0.0297,Em atraso
500133,14885,113,4,2022-06-17,18517.51,12,0.0263,Quitado
500134,14922,114,3,2020-04-30,37269.63,24,0.0191,Em atraso
500135,14959,115,4,2022-09-26,104180.56,12,0.0197,Quitado
500136,14996,116,4,2023-03-08,98875.63,60,0.0226,Em atraso
500137,15033,117,3,2023-12-15,33556.13,24,0.0204,Quitado
500138,15070,118,4,2026-05-03,57797.27,6,0.0228,Em atraso
500139,15107,119,4,2021-02-20,15681.78,6,0.0267,Quitado
500140,15144,120,3,2024-11-20,110679.56,24,0.0401,Em atraso
500141,15181,101,4,2020-10-21,2328.13,24,0.0097,Em atraso
500142,15218,102,3,2022-10-01,6325.47,48,0.0402,Em atraso
500143,15255,103,4,2023-04-22,43306.52,6,0.0169,Ativo
500144,15292,104,3,2022-07-12,23022.73,24,0.0300,Em atraso
500145,15329,105,4,2020-10-14,104068.69,18,0.0152,Ativo
500146,15366,106,3,2022-09-09,109389.05,18,0.0150,Ativo
500147,15403,107,4,2022-07-07,57739.03,24,0.0243,Em atraso
500148,15440,108,4,2024-02-07,57751.60,12,0.0216,Ativo
500149,15477,109,4,2023-01-01,117470.19,12,0.0143,Ativo
500150,15514,110,4,2021-09-26,38826.26,6,0.0148,Quitado
500151,15551,111,4,2026-02-19,100762.37,48,0.0318,Em atraso
500152,15588,112,3,2022-02-20,23212.32,18,0.0377,Ativo
500153,15625,113,4,2023-04-15,112137.30,60,0.0109,Ativo
500154,15662,114,3,2024-01-06,95968.20,60,0.0350,Em atraso
500155,15699,115,4,2021-01-10,24307.22,18,0.0294,Ativo
500156,15736,116,3,2026-12-15,11283.93,48,0.0192,Em atraso
500157,15773,117,4,2020-01-17,46729.59,36,0.0306,Quitado
500158,15810,118,3,2023-03-12,53015.80,36,0.0253,Ativo
500159,15847,119,4,2023-04-21,59188.25,24,0.0325,Ativo
500160,15884,120,3,2026-11-26,60599.08,36,0.0397,Quitado
500161,15921,101,4,2020-07-09,58791.53,18,0.0382,Ativo
500162,15958,102,3,2022-06-09,54604.22,60,0.0307,Em atraso
500163,15995,103,3,2023-08-08,52527.94,36,0.0218,Quitado
500164,16032,104,3,2022-07-12,94952.23,60,0.0410,Ativo
500165,16069,105,3,2026-07-06,18270.16,24,0.0243,Ativo
500166,16106,106,3,2023-04-19,9554.87,18,0.0293,Quitado
500167,16143,107,3,2023-10-09,110867.88,48,0.0186,Quitado
500168,16180,108,4,2022-09-04,17895.32,12,0.0357,Ativo
500169,16217,109,4,2020-07-14,10720.11,12,0.0147,Em atraso
500170,16254,110,4,2025-07-09,90814.81,18,0.0256,Quitado
500171,16291,111,4,2024-12-20,30967.63,24,0.0116,Em atraso
500172,16328,112,3,2023-07-15,82521.03,12,0.0388,Ativo
500173,16365,113,4,2022-05-18,84196.18,24,0.0389,Quitado
500174,16402,114,4,2023-10-26,82583.74,18,0.0150,Quitado
500175,16439,115,4,2023-03-28,17291.02,24,0.0187,Ativo
500176,16476,116,3,2026-08-10,108433.44,48,0.0119,Quitado
500177,16513,117,4,2020-03-02,92833.45,12,0.0218,Ativo
500178,16550,118,3,2022-07-24,73628.43,6,0.0289,Em atraso
500179,16587,119,3,2026-06-26,68180.00,24,0.0367,Ativo
500180,16624,120,4,2025-08-20,44906.24,24,0.0279,Em atraso
500181,16661,101,3,2020-10-21,113114.83,12,0.0186,Em atraso
500182,16698,102,3,2026-06-01,116784.69,48,0.0162,Ativo
500183,16735,103,3,2022-12-03,53715.97,24,0.0186,Ativo
500184,16772,104,4,2025-06-12,95228.47,48,0.0260,Em atraso
500185,16809,105,4,2023-11-16,4826.15,48,0.0233,Ativo
500186,16846,106,3,2020-11-30,44646.79,12,0.0155,Em atraso
500187,16883,107,3,2026-12-09,9268.59,6,0.0211,Quitado
500188,16920,108,4,2022-09-30,45237.65,6,0.0334,Ativo
500189,16957,109,3,2023-12-25,20698.73,18,0.0158,Ativo
500190,16994,110,3,2026-12-17,36444.46,18,0.0231,Ativo
500191,17031,111,4,2020-05-24,49732.12,60,0.0287,Ativo
500192,17068,112,4,2025-11-06,57040.56,24,0.0125,Ativo
500193,17105,113,3,2020-07-11,84739.48,60,0.0375,Ativo
500194,17142,114,4,2026-04-18,32107.32,6,0.0120,Quitado
500195,17179,115,3,2020-05-17,23449.24,18,0.0175,Ativo
500196,17216,116,4,2022-05-08,71921.39,36,0.0344,Em atraso
500197,17253,117,4,2020-12-02,119248.44,48,0.0145,Quitado
500198,17290,118,3,2023-11-08,16516.81,18,0.0322,Ativo
500199,17327,119,3,2021-05-15,95822.39,18,0.0120,Quitado
500200,17364,120,4,2020-09-16,83437.48,6,0.0430,Quitado
500201,17401,101,3,2023-03-24,111523.90,60,0.0306,Quitado
500202,17438,102,4,2023-02-09,102945.70,24,0.0413,Quitado
500203,17475,103,3,2021-11-22,1612.59,60,0.0300,Em atraso
500204,17512,104,3,2025-10-24,90702.48,6,0.0151,Ativo
500205,17549,105,4,2020-04-07,39254.94,12,0.0325,Em atraso
500206,17586,106,3,2026-04-26,58684.99,6,0.0268,Ativo
500207,17623,107,3,2023-07-16,59925.76,24,0.0218,Ativo
500208,17660,108,4,2025-06-11,88857.10,36,0.0266,Ativo
500209,17697,109,3,2025-02-15,11601.55,24,0.0192,Quitado
500210,17734,110,4,2024-09-26,57858.37,36,0.0335,Em atraso
500211,17771,111,4,2023-06-22,24886.57,12,0.0120,Em atraso
500212,17808,112,3,2022-09-13,96727.28,36,0.0146,Quitado
500213,17845,113,3,2020-02-17,30962.15,60,0.0146,Ativo
500214,17882,114,4,2020-09-25,43424.22,24,0.0274,Em atraso
500215,17919,115,4,2021-05-15,55999.76,12,0.0250,Quitado
500216,17956,116,3,2023-05-03,102669.92,60,0.0403,Ativo
500217,17993,117,4,2025-03-26,89428.73,18,0.0334,Quitado
500218,18030,118,3,2025-11-16,78365.00,12,0.0156,Quitado
500219,18067,119,3,2026-10-10,119198.95,24,0.0391,Quitado
500220,18104,120,4,2020-01-28,47606.06,18,0.0378,Em atraso
500221,18141,101,3,2026-11-15,4929.39,6,0.0404,Ativo
500222,18178,102,4,2020-12-08,20064.24,12,0.0367,Ativo
500223,18215,103,4,2024-12-02,79582.98,60,0.0391,Ativo
500224,18252,104,3,2022-10-26,83241.57,48,0.0291,Em atraso
500225,18289,105,4,2026-03-25,68058.44,12,0.0090,Em atraso
500226,18326,106,4,2024-11-02,64870.98,18,0.0225,Ativo
500227,18363,107,3,2026-12-17,9839.77,18,0.0269,Quitado
500228,18400,108,3,2022-10-28,34475.41,6,0.0349,Ativo
500229,18437,109,4,2024-12-11,119593.95,36,0.0419,Ativo
500230,18474,110,3,2020-07-16,20851.75,48,0.0204,Quitado
500231,18511,111,4,2022-08-30,119357.57,12,0.0258,Quitado
500232,18548,112,3,2023-10-22,88995.27,18,0.0314,Em atraso
500233,18585,113,3,2025-04-12,33702.86,60,0.0311,Ativo
500234,18622,114,3,2024-11-09,45729.99,36,0.0418,Em atraso
500235,18659,115,4,2024-07-04,66023.89,36,0.0434,Quitado
500236,18696,116,3,2020-12-21,96060.82,18,0.0226,Ativo
500237,18733,117,3,2023-09-06,59833.53,18,0.0113,Quitado
500238,18770,118,3,2022-03-26,113012.99,36,0.0269,Ativo
500239,18807,119,4,2021-04-11,30711.73,12,0.0280,Em atraso
500240,18844,120,4,2026-01-01,92474.37,36,0.0194,Ativo
500241,18881,101,4,2025-11-02,71295.83,36,0.0164,Quitado
500242,18918,102,4,2021-06-01,110306.40,6,0.0293,Ativo
500243,18955,103,4,2023-01-05,103453.48,6,0.0277,Em atraso
500244,18992,104,3,2025-12-22,32739.13,36,0.0287,Em atraso
500245,19029,105,3,2020-02-13,100528.75,6,0.0343,Quitado
500246,19066,106,4,2025-02-09,93816.14,48,0.0281,Ativo
500247,19103,107,4,2022-06-24,4302.20,12,0.0287,Em atraso
500248,19140,108,3,2023-03-18,32404.85,60,0.0192,Em atraso
500249,19177,109,3,2021-06-23,19055.40,6,0.0260,Ativo
500250,19214,110,4,2024-07-17,104037.87,12,0.0293,Quitado
500251,19251,111,4,2020-01-04,90880.50,12,0.0318,Em atraso
500252,19288,112,4,2023-01-22,53601.06,6,0.0378,Em atraso
500253,19325,113,4,2024-10-19,28125.67,24,0.0422,Em atraso
500254,19362,114,4,2025-12-21,18633.91,18,0.0395,Quitado
500255,19399,115,3,2020-10-28,82616.81,60,0.0175,Em atraso
500256,19436,116,4,2025-08-23,103757.78,24,0.0215,Ativo
500257,19473,117,3,2021-09-06,56046.27,36,0.0187,Quitado
500258,19510,118,4,2025-02-20,37497.76,24,0.0148,Ativo
500259,19547,119,3,2025-10-10,23669.23,24,0.0091,Em atraso
500260,19584,120,3,2021-07-06,114513.69,60,0.0414,Em atraso
500261,19621,101,3,2024-08-13,85198.29,36,0.0203,Ativo
500262,19658,102,4,2020-08-24,15005.98,18,0.0307,Ativo
500263,19695,103,3,2022-07-12,33536.90,24,0.0247,Em atraso
500264,19732,104,3,2026-03-31,95811.87,12,0.0314,Ativo
500265,19769,105,3,2021-09-04,99742.33,60,0.0231,Ativo
500266,19806,106,4,2024-04-14,19457.70,12,0.0431,Quitado
500267,19843,107,3,2026-03-01,35358.75,60,0.0221,Quitado
500268,19880,108,3,2021-01-02,89182.96,48,0.0186,Ativo
500269,19917,109,3,2022-07-31,11011.03,24,0.0403,Quitado
500270,19954,110,4,2026-04-16,96701.54,24,0.0103,Em atraso
500271,19991,111,4,2022-04-08,56899.90,60,0.0130,Quitado
500272,20028,112,3,2022-12-30,39215.93,24,0.0142,Quitado
500273,20065,113,4,2021-03-25,36589.16,18,0.0310,Em atraso
500274,20102,114,4,2020-07-19,70950.06,6,0.0257,Em atraso
500275,20139,115,3,2022-05-23,33225.44,60,0.0298,Quitado
500276,20176,116,4,2026-11-25,59216.20,24,0.0208,Quitado
500277,20213,117,4,2021-08-30,105081.23,18,0.0134,Ativo
500278,20250,118,4,2026-09-17,96781.75,24,0.0417,Ativo
500279,20287,119,4,2022-01-02,63061.78,60,0.0162,Ativo
500280,20324,120,3,2020-03-23,20051.41,48,0.0153,Em atraso
500281,20361,101,3,2022-06-19,71566.51,48,0.0300,Quitado
500282,20398,102,3,2025-04-18,58330.44,48,0.0242,Ativo
500283,20435,103,3,2021-11-11,47845.48,18,0.0261,Ativo
500284,20472,104,4,2023-07-30,9184.58,60,0.0126,Em atraso
500285,20509,105,3,2022-08-07,29741.67,18,0.0379,Ativo
500286,20546,106,3,2022-09-04,76662.28,18,0.0132,Ativo
500287,20583,107,4,2021-10-18,22459.57,12,0.0314,Ativo
500288,20620,108,4,2022-12-03,112894.85,12,0.0357,Quitado
500289,20657,109,3,2020-09-06,6750.81,18,0.0362,Ativo
500290,20694,110,3,2022-01-10,102340.18,36,0.0199,Em atraso
500291,20731,111,4,2021-12-23,106657.38,60,0.0373,Ativo
500292,20768,112,3,2024-09-21,116685.65,18,0.0266,Quitado
500293,20805,113,4,2021-09-13,111703.07,6,0.0123,Ativo
500294,20842,114,3,2026-03-22,21175.79,12,0.0383,Ativo
500295,20879,115,4,2024-08-05,77173.85,60,0.0171,Ativo
500296,20916,116,3,2024-01-22,75880.43,6,0.0125,Quitado
500297,20953,117,4,2023-02-28,66877.67,6,0.0221,Quitado
500298,20990,118,3,2023-08-27,35168.89,12,0.0345,Quitado
500299,21027,119,4,2021-12-17,107524.41,36,0.0148,Quitado
500300,21064,120,3,2025-08-29,90405.83,36,0.0392,Quitado
500301,21101,101,3,2022-09-02,25616.55,48,0.0178,Em atraso
500302,21138,102,4,2026-12-23,9634.42,6,0.0158,Quitado
500303,21175,103,3,2020-01-30,57491.25,36,0.0311,Ativo
500304,21212,104,4,2026-11-22,116762.43,18,0.0439,Ativo
500305,21249,105,3,2025-12-22,58904.39,60,0.0197,Em atraso
500306,21286,106,4,2024-10-30,47516.89,6,0.0407,Em atraso
500307,21323,107,4,2020-08-23,49297.19,12,0.0432,Em atraso
500308,21360,108,3,2025-08-30,55182.90,18,0.0205,Ativo
500309,21397,109,3,2020-05-31,95636.20,60,0.0362,Ativo
500310,21434,110,3,2021-06-17,29892.32,36,0.0306,Ativo
500311,21471,111,3,2024-06-16,69466.97,12,0.0179,Quitado
500312,21508,112,4,2025-04-12,111977.76,18,0.0197,Ativo
500313,21545,113,4,2025-10-24,78572.42,36,0.0126,Ativo
500314,21582,114,3,2024-04-12,26657.75,36,0.0118,Ativo
500315,21619,115,3,2021-04-23,24376.12,12,0.0229,Em atraso
500316,21656,116,4,2022-04-01,9068.52,24,0.0201,Quitado
500317,21693,117,3,2026-11-05,97981.49,6,0.0179,Ativo
500318,21730,118,4,2021-05-27,30408.12,24,0.0187,Em atraso
500319,21767,119,3,2022-04-12,11487.26,48,0.0170,Ativo
500320,21804,120,4,2025-12-28,15708.44,6,0.0213,Ativo
500321,21841,101,4,2024-10-12,26969.93,18,0.0398,Quitado
500322,21878,102,3,2026-01-27,84500.80,18,0.0426,Em atraso
500323,21915,103,4,2022-06-24,92273.92,48,0.0181,Ativo
500324,21952,104,3,2026-07-07,113390.70,60,0.0417,Ativo
500325,21989,105,4,2026-09-19,86499.88,48,0.0193,Ativo
500326,22026,106,3,2020-01-23,91307.45,12,0.0274,Ativo
500327,22063,107,4,2020-03-31,42831.90,18,0.0203,Ativo
500328,22100,108,3,2022-01-09,30944.11,36,0.0227,Em atraso
500329,22137,109,4,2021-03-21,79094.23,24,0.0175,Em atraso
500330,22174,110,3,2026-12-21,14653.58,12,0.0146,Quitado
500331,22211,111,3,2022-09-28,34178.09,12,0.0093,Quitado
500332,22248,112,4,2022-06-10,30816.33,12,0.0241,Em atraso
500333,22285,113,4,2024-05-30,28229.20,24,0.0262,Ativo
500334,22322,114,3,2021-07-09,119445.43,6,0.0210,Ativo
500335,22359,115,4,2024-01-12,100236.76,60,0.0404,Quitado
500336,22396,116,3,2021-11-28,66544.53,18,0.0100,Ativo
500337,22433,117,3,2021-07-04,81414.35,18,0.0175,Ativo
500338,22470,118,3,2024-09-20,58484.42,36,0.0310,Quitado
500339,22507,119,4,2025-07-23,59513.45,18,0.0314,Em atraso
500340,22544,120,3,2024-03-10,48413.66,48,0.0311,Ativo
500341,22581,101,4,2020-10-06,33960.25,6,0.0211,Em atraso
500342,22618,102,3,2021-01-08,19469.15,24,0.0357,Em atraso
500343,22655,103,3,2022-02-02,9456.25,60,0.0378,Ativo
500344,22692,104,4,2023-01-12,27302.07,12,0.0324,Em atraso
500345,22729,105,3,2023-11-22,20433.47,60,0.0202,Quitado
500346,22766,106,3,2026-05-17,5184.84,6,0.0123,Ativo
500347,22803,107,4,2023-01-28,84504.64,12,0.0317,Ativo
500348,22840,108,3,2021-06-12,58714.81,12,0.0221,Quitado
500349,22877,109,3,2024-11-17,112799.24,48,0.0162,Ativo
500350,22914,110,3,2020-04-05,102880.24,48,0.0202,Ativo
500351,22951,111,3,2025-06-19,72825.83,36,0.0243,Ativo
500352,22988,112,3,2026-12-10,104004.23,36,0.0418,Quitado
500353,23025,113,4,2023-04-15,15251.46,6,0.0166,Ativo
500354,23062,114,4,2021-08-09,76832.13,12,0.0268,Em atraso
500355,23099,115,3,2021-12-10,81738.58,36,0.0419,Em atraso
500356,23136,116,3,2022-09-13,87778.26,12,0.0420,Quitado
500357,23173,117,4,2023-12-09,45730.32,12,0.0163,Em atraso
500358,23210,118,4,2021-09-13,69097.27,6,0.0258,Ativo
500359,23247,119,4,2023-08-11,109824.52,36,0.0252,Quitado
500360,23284,120,3,2026-08-30,111496.10,60,0.0139,Quitado
500361,23321,101,4,2023-02-02,72127.36,36,0.0421,Em atraso
500362,23358,102,3,2026-01-02,28451.83,36,0.0253,Ativo
500363,23395,103,3,2020-02-11,72727.01,12,0.0369,Quitado
500364,23432,104,4,2021-08-02,109251.38,48,0.0270,Ativo
500365,23469,105,3,2023-01-03,92178.07,6,0.0165,Quitado
500366,23506,106,3,2022-11-26,9518.35,24,0.0121,Quitado
500367,23543,107,4,2024-03-10,44637.40,60,0.0429,Quitado
500368,23580,108,4,2022-01-03,16742.91,60,0.0329,Quitado
500369,23617,109,4,2025-12-30,77041.91,24,0.0336,Ativo
500370,23654,110,3,2026-05-31,33080.20,18,0.0321,Em atraso
500371,23691,111,4,2025-09-01,1468.95,48,0.0369,Ativo
500372,23728,112,4,2026-03-04,96432.87,36,0.0295,Ativo
500373,23765,113,4,2021-11-10,30569.98,24,0.0349,Ativo
500374,23802,114,4,2024-10-25,102583.54,36,0.0367,Ativo
500375,23839,115,3,2022-11-27,17718.09,18,0.0188,Quitado
500376,23876,116,4,2020-11-18,109892.51,36,0.0271,Em atraso
500377,23913,117,3,2024-10-21,26260.02,18,0.0375,Em atraso
500378,23950,118,4,2024-03-23,19826.75,18,0.0197,Ativo
500379,23987,119,4,2026-08-20,84013.27,6,0.0357,Quitado
500380,24024,120,4,2025-04-15,74335.34,6,0.0239,Ativo
500381,24061,101,3,2026-10-12,102899.01,12,0.0409,Ativo
500382,24098,102,3,2026-02-06,70837.41,18,0.0259,Ativo
500383,24135,103,3,2022-04-19,21351.28,60,0.0420,Quitado
500384,24172,104,3,2026-08-13,104337.86,24,0.0292,Ativo
500385,24209,105,3,2021-03-30,18893.26,6,0.0326,Ativo
500386,24246,106,4,2022-09-12,82936.74,60,0.0297,Ativo
500387,24283,107,3,2023-10-10,87021.10,18,0.0330,Quitado
500388,24320,108,4,2024-11-01,52747.74,12,0.0262,Em atraso
500389,24357,109,3,2020-05-20,55286.00,18,0.0222,Quitado
500390,24394,110,3,2024-06-10,65991.54,12,0.0352,Em atraso
500391,24431,111,4,2022-07-25,11215.20,24,0.0315,Ativo
500392,24468,112,4,2025-04-05,21779.53,12,0.0165,Ativo
500393,24505,113,4,2023-10-07,11462.41,18,0.0330,Quitado
500394,24542,114,4,2021-04-08,57853.66,48,0.0125,Ativo
500395,24579,115,3,2021-06-01,34328.40,36,0.0328,Ativo
500396,24616,116,4,2021-02-04,78297.89,24,0.0401,Ativo
500397,24653,117,3,2022-06-03,82542.26,12,0.0184,Ativo
500398,24690,118,3,2024-11-09,6986.97,36,0.0192,Em atraso
500399,24727,119,4,2026-05-15,17944.15,18,0.0141,Em atraso
500400,24764,120,4,2021-11-27,6288.22,48,0.0314,Quitado
500401,24801,101,4,2024-05-16,48459.92,60,0.0156,Ativo
500402,24838,102,4,2023-11-11,49281.76,24,0.0183,Quitado
500403,24875,103,4,2025-04-06,80508.42,36,0.0407,Ativo
500404,24912,104,4,2023-01-15,48514.97,60,0.0366,Em atraso
